iter	Passed	Remaining
0	156	156188
1	158	78884
2	159	52915
3	160	39850
4	160	32011
5	161	26783
6	162	23049
7	163	20250
8	164	18071
9	164	16328
10	165	14903
11	166	13714
12	167	12707
13	168	11845
14	170	11166
15	171	10548
16	172	9978
17	173	9472
18	174	9016
19	175	8610
20	177	8287
21	179	7958
22	182	7768
23	183	7472
24	184	7198
25	185	6944
26	186	6708
27	186	6490
28	187	6287
29	188	6097
30	189	5919
31	190	5752
32	191	5612
33	193	5484
34	194	5354
35	195	5226
36	196	5102
37	196	4984
38	197	4871
39	198	4763
40	199	4662
41	200	4579
42	201	4488
43	202	4400
44	203	4315
45	204	4234
46	204	4156
47	205	4081
48	206	4011
49	207	3943
50	208	3878
51	209	3814
52	210	3753
53	210	3694
54	212	3655
55	213	3606
56	214	3555
57	215	3503
58	216	3454
59	217	3407
60	218	3360
61	219	3315
62	219	3272
63	220	3229
64	221	3188
65	222	3149
66	223	3110
67	224	3072
68	225	3041
69	227	3020
70	228	2990
71	229	2957
72	230	2924
73	231	2892
74	231	2860
75	232	2830
76	233	2800
77	234	2771
78	235	2743
79	236	2715
80	236	2688
81	237	2662
82	238	2632
83	239	2609
84	240	2593
85	242	2573
86	243	2552
87	244	2531
88	246	2520
89	247	2502
90	248	2481
91	249	2459
92	250	2438
93	250	2418
94	251	2397
95	252	2378
96	253	2359
97	255	2350
98	256	2334
99	257	2318
100	258	2301
101	259	2284
102	260	2268
103	261	2251
104	262	2236
105	263	2220
106	264	2205
107	265	2190
108	266	2175
109	267	2161
110	269	2156
111	270	2143
112	271	2130
113	272	2115
114	273	2101
115	273	2087
116	274	2072
117	275	2058
118	276	2045
119	277	2031
120	277	2019
121	278	2004
122	279	1992
123	280	1980
124	281	1968
125	282	1957
126	283	1950
127	285	1941
128	286	1931
129	287	1921
130	287	1909
131	288	1898
132	289	1887
133	290	1876
134	291	1865
135	291	1854
136	292	1844
137	293	1834
138	294	1823
139	295	1813
140	296	1804
141	297	1796
142	298	1789
143	299	1780
144	300	1770
145	301	1761
146	301	1752
147	302	1743
148	303	1734
149	304	1725
150	305	1717
151	306	1708
152	307	1700
153	308	1692
154	308	1684
155	309	1676
156	311	1671
157	312	1665
158	316	1673
159	317	1668
160	318	1659
161	319	1652
162	320	1645
163	321	1638
164	322	1631
165	323	1624
166	324	1617
167	325	1612
168	326	1607
169	328	1603
170	330	1602
171	332	1600
172	333	1595
173	335	1590
174	336	1585
175	337	1582
176	341	1586
177	343	1583
178	344	1582
179	346	1578
180	347	1574
181	349	1569
182	350	1563
183	353	1565
184	355	1564
185	356	1562
186	358	1559
187	360	1556
188	362	1555
189	363	1551
190	366	1553
191	369	1554
192	372	1556
193	374	1554
194	376	1553
195	378	1552
196	382	1560
197	384	1559
198	387	1558
199	389	1557
200	391	1556
201	393	1554
202	397	1559
203	399	1560
204	402	1562
205	405	1561
206	407	1560
207	415	1583
208	419	1589
209	423	1591
210	459	1717
211	509	1895
212	512	1894
213	515	1893
214	518	1892
215	521	1892
216	611	2207
217	614	2203
218	626	2235
219	630	2234
220	633	2231
221	636	2228
222	640	2233
223	644	2232
224	647	2229
225	650	2228
226	654	2227
227	657	2225
228	660	2223
229	663	2221
230	676	2253
231	684	2266
232	693	2281
233	710	2325
234	719	2340
235	722	2337
236	725	2334
237	732	2345
238	735	2342
239	738	2338
240	741	2334
241	748	2344
242	753	2347
243	827	2562
244	832	2564
245	836	2563
246	844	2574
247	852	2585
248	860	2595
249	863	2591
250	866	2586
251	880	2613
252	884	2612
253	890	2614
254	894	2612
255	927	2694
256	929	2687
257	931	2679
258	940	2692
259	943	2685
260	946	2678
261	997	2810
262	1004	2813
263	1005	2804
264	1008	2797
265	1012	2793
266	1016	2791
267	1018	2781
268	1020	2771
269	1021	2762
270	1023	2752
271	1024	2742
272	1026	2733
273	1027	2723
274	1032	2722
275	1034	2713
276	1042	2721
277	1048	2722
278	1052	2719
279	1054	2711
280	1056	2702
281	1057	2692
282	1058	2682
283	1063	2681
284	1065	2672
285	1066	2662
286	1067	2653
287	1069	2643
288	1070	2634
289	1072	2625
290	1073	2616
291	1077	2613
292	1081	2610
293	1083	2603
294	1085	2595
295	1087	2586
296	1092	2587
297	1096	2584
298	1103	2586
299	1107	2584
300	1109	2577
301	1114	2575
302	1119	2574
303	1122	2570
304	1124	2562
305	1127	2556
306	1129	2549
307	1130	2540
308	1133	2534
309	1134	2525
310	1138	2522
